primary_name,Address,city,Lunch Capacity,Dinner Capacity,pdr,Min Pdr Qty,BarAvailable,Valet Parking,Complimantary Drinks,Outlet Timings,Live Music,TV,Wheel Chair,Lift,Baby Chair,Landmark For Outlets
Chrompet,"Raj Meridian hotel building adjacent to Sony Showroom on GST Road, Chennai, Tamil Nadu 600047",Chennai,118,118,false,0,False,No,Only for Lunch Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,False,True,
"Cine Mall, Race Course Road","Third Floor, Cine mall, Race Course Road, Near Natubhai Circle, Vadodara, 390007 Gujarat",Vadodara,220,220,false,0,False,Only Parking Assistance,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,"Lunch open by 12.00 pm and close by 4.30 pm and last entry is 3.00 pm,<br><br/> Dinner start by 06.30 pm and close by 11.00 pm and last entry is 10.00 pm<br><br/>",False,False,True,True,True,NEAR NATUBHAY CIRCLE 
"City Center Mall, Untwadi Road","City center mall, lawate nagar untwadi road,banyan square, nashik-422002",Nashik,112,112,false,0,True,Mall Parking,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,city center mall
City Centre,"First floor Pushpanjali, Plot No. C-71/A, Shahid Khudiram Sarani, City Center, Durgapur, West Bengal 713216",Durgapur,112,112,false,0,False,No,Only for Lunch from Monday to Friday  one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,Fortune park Pushpanjali
"City Centre, Railway Station Road","3rd Floor, City Center, Bharuch Bus Station, Railway Station Road, Moficer Jin Compound, Bharuch, Gujarat 392001

",Bharuch,84,84,false,0,False,NA,NA,Lunch open by 12.00 pm and last entry 03.30 pm and close by 04.30 pm and Dinner open by 06.30 pm and last 10.45 pm.,False,False,False,False,False,Bharuch Bus Station
"City Mall, Civil Lines","3rd Floor, No, City Mall, 10, Park Rd, Civil Lines, Gorakhpur, Uttar Pradesh 273009",Gorakhpur,122,122,false,0,True,No valet parking ( Mall Parking chargable),Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Monday to Friday Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Sat & Sun outlet is open by 12.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>Monday to Friday Dinner open by 06.00 pm and close 12.00 am and last entry for lunch 11.00 pm <br><br/>,True,False,False,True,False,City Mall
"City Plaza Building, Abids","3rd Floor, City plaza building, opposite to St. George's Grammar School, Abids, Hyderabad, Telangana 500029",Hyderabad,128,128,false,0,False,NO,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner by 06.30 pm and close by 11.30 pm and last entry 10.45 pm <br><br/>,True,False,False,True,True,City plaza building
"Clover Hill Plaza, NIBM Road","R Floor ( 5th Floor ),Clover Hills Plaza, NIBM Road,Pune, Maharastra - 411048",Pune,100,100,false,0,True,No valet parking ( Mall Parking chargable),Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close by 04.30 pm and last entry is 03.30 pm.<br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry by 10.30 pm.,True,False,False,True,True,Clover Hills Plaza
Connaught Place,"Munshilal bulding 2nd Floor N-19, Block N, Connaught Place, New Delhi, Delhi 110001, India",New Delhi,100,100,true,20,True,Self Parking.,Lunch : Monday to Friday / 1 Round / Soft drink or Mocktail.,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False,"Munshilal bulding 2nd Floor N-19, Block N"
"Contractors Area, Bistupur","Contractors area, near Centre Point Hotel,Jamshedpur

",Jamshedpur,130,130,false,0,False,NA,We serve 1 round of complimentary drinks in Lunch from Monday to Friday.,Lunch open by 12:00 PM and close by 04.30 pm and last entry by 03.30 PM & Dinner open by 6:30 PM and close by 11.45 pm and last entry by 11.00 pm.,True,False,False,True,True,Near Centre Point Hotel
Cosmos Mall,"3rd Floor Ashok CosmosMall, Block No.119/8, Sanjay Place,Civil Lines, Agra, Uttar Pradesh -282002",Agra,138,138,false,0,False,No,No,Monday to Friday lunch open by by 12.00 pm and close 11.00 pm and last is 10.00 pm <br><br/> Sat & Sun outlet is open by 12.00 pm and close 11.00 pm and last entry 10.00 pm <br><br/>Monday to Friday Dinner open by 06.00 pm and close by 11.00 pm and last entry 10.00 pm <br><br/>,False,False,False,True,True,Ashok Cosmos Mall
"Crown Interiorz Mall, Sec-35","2nd Floor, Crown Interiorz Mall Mathura  Road Sec-35, DLF Industrial Area Faridabad, Haryana 121003, India",Faridabad,140,140,false,44,True,No valet parking ( Mall Parking chargable),Only for Lunch on Friday  one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False,near healment circle just opssite r3mall sataya one on 1floor
"Crystall Mall, Kalawad Road","3rd Floor,Crystal Mall,Opp. Rani Tower,Kalavad Road, Rajkot, Gujarat 360005",Rajkot,95,95,false,0,False,YES,No,"Lunch open by 12.00 pm and close by 4.30 pm and last entry is 3.30 pm,<br><br/> Dinner start by 06.30 pm and close by 11.00 pm and last entry is 10.00 pm<br><br/>",False,False,True,True,True,rani tower building
Del- Saket Southern Park,"G Floor 09,10,11,12 & 14A, Southern Park Saket, Discrict Center, Saket, New Delhi 110017

",New Delhi,120,120,false,0,True,No,Monday to Friday lunch one round soft drink,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,False,False,Select City Mall
"Diamond Plaza, Jessore Road","Unit No-01, 4th Floor,Diamond Plaza, 68 Jessore Road, Bangur Avenue, Kolkata, West Bengal 700055",Kolkata,112,112,false,0,True,No valet parking ( Mall Parking chargable),Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True, Bangur Avenue
DLF Porur,"Barbeque Nation, Survay No:38/1,Door No:173,Secound Floor,Mount Ponamali High road,Porur,Chennai-600116",Chennai,140,140,false,0,False,No,Only for Lunch Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,True,False,False,True,True,Near DLF
"DN Regalia Mall, Patrapada","6th floor,Service road South Tamando DN Square, Kalinga Vihar, Patrapada, Odisha 751019",Bhubaneswar,138,138,true,25,True,No,Only for Lunch from Wednesday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.00 pm <br><br/>,False,False,False,True,True,DN Regalia mall 
"Downtown 44, NH-44","1st floor Carnation Greens, Downtown Jammu Highway, Pathankot -145023

",Pathankot,108,108,false,0,True,Mall Parking,No,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,True,"Carnation Greens, Downtown Jammu Highway"
"DSL Virtue Mall, Uppal","Unit No.F0.03.04&05,4th Floor,DSL Virtue Mall,Near R G I Cricket Stadium Industrial Devepment Uppal pin 500039 

",Hyderabad,130,130,false,0,False,NO,We serve 1 round of complimentary drinks in Lunch from Monday to Saturday..,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,R G I Cricket Stadium
"Durga Infinity Mall,Bailey Rd","5th Floor,Durga Infinity,Bailey Road,Khajpura,Patna, 800014

",Patna,192,192,false,0,False,No,We serve 1 round of complimentary drinks in Lunch from Monday to Friday,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,False,"Near Shiv Mandir,Khajpura"
EDM MALL KAUSHAMBI,"BARBEQUE NATION, 2ND FLOOR EAST DELHI MALL, KAUSHAMBHI, GHAZIABAD,UTTAR PRADESH -201001

",Ghaziabad,136,136,false,0,False,"MALL PARKING, CHARGEABLE ",We serve 1 round of complimentary drinks in Lunch from Monday to Friday,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,True,False,False,True,True,KAUSHAMBHI
Electronic City,"99, 14th Cross Road, Neeladri Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India",Bengaluru,124,124,false,0,False,Self Parking chargable,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,Next to Ajmeera apartments
"Elpro Mall, MG Road","3rd Floor, Elpro City Square Mall, Pune, Maharashtra, 411033

",Pune,128,128,false,0,True,NO,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close by 04.30 pm and last entry is 03.30 pm.<br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry by 10.30 pm.,True,False,False,True,True,Elpro Mall
"Eros Mall, Sector 20A","EROS EF3 Mall, 2nd Floor, Sec-20A, Opposite Old Faridabad Metro Station, Faridabad, Haryana 121001, India",Faridabad,120,120,false,0,True,No valet parking ( Mall Parking - paid parking),Np,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False,hotel bela kata  bitoo bypass
"Eternity Mall, Amravati Road","Amravati Rd, Variety Square, Sitabuldi, Nagpur, Maharashtra 440012",Nagpur,104,104,false,0,True,Mall Parking,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner by 06.30 pm and close by 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,True,AMRAVATY ROAD
Ferozpur Road,"2nd Floor, Dhanraj Sing Complex Gate No. 1 Ferozpur Road, Gate Number 1 Rd, near Punjab Agricultural University, Ludhiana, Punjab 141001",Ludhiana,110,110,false,0,True,Only Parking Assistance,Only for Lunch from Monday to Friday one round soft drink or Mocktails,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False,na
"Fiesta, Ashok Inox patna","4t Floor KP Mall, Buddha Marg, Kotwali Town, Patna-800001

",Patna,90,90,false,0,False,NA,NA,"12:00 PM to 2:30 PM

2:30 PM TO 4:30PM

6:30 PM TO 9:15 PM

9:15 PM TO 11.30 PM

",False,False,False,False,False,"Opposite ISKONTemple, Above Reliance Smart Bazar"
Fiesta - New Market,"No-20A,1st floor Humayan court,Nellie sengupta sarani,(Formerly lindsay Street)Kolkata-700087

",Kolkata,132,132,true,25,False,Only Parking Assistance,No,Lunch open by 12.00 pm and last entry 03.30 pm and close by 04.30 pm and Dinner open by 06.00 pm and last 10.45 pm.,False,False,False,True,True,Humayan Court
Fiesta- Swaroop Nagar,"3rd Floor, Swaroop nagar(Max Building) Kanpur-208002",Kanpur,104,104,false,0,True,NO,We serve 1 round of complimentary drinks in Lunch from Monday to Saturday,Monday to Friday Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Sat & Sun outlet is open by 12.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>Monday to Friday Dinner open by 06.00 pm and close 12.00 am and last entry for lunch 11.00 pm <br><br/>,True,False,False,True,False,"Near Prakhar Hospital, Khalasi Line"
Fiesta- Vega City Mall,"Vega City, Bannerghatta Road. PVR Cinemas, 4th Floor, Vega City Mall,172/1, Bannerghatta Main Road, JP Nagar 3rd Phase, Dollar Layout, Bengaluru-Karnataka, 560076

",Bengaluru,120,120,true,0,False,No,No,"Lunch open by 12.00 pm and close by 4.45 pm and last entry by 4.00 pm.

Dinner open by 06.30 pm and close by 11.45 pm and last entry by 11.00 pm",False,False,False,False,False,PVR Cinemas
"Forum Sujana Mall, Kukatpally","Restaurant No.2, Sy.no.1009, 4th floor Kukatpally Village,KPHB VI Phase Balanagar Mandal, Hyderabad, Telangana 500072",Hyderabad,163,163,false,0,False,No valet parking ( Mall Parking chargable),Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,False,Forum Sujana Mall
Fun Republic Lokhandwala Mumbai,"Fun Republic 6th Floor, Veera Desai Industrial Estate, Andheri West, Maharastra - 400047",Mumbai,104,104,false,0,True,Self Mall Parking chargable,Lunch / Wednesday to Friday / 1 Round / Soft drink or Mocktail.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner by 06.30 pm and close by 11.45 pm and last entry 11.00 pm <br><br/>,True,False,False,True,True,"Fun Republic 6th Floor, Veera Desai Industrial Estate, Andheri West, Maharastra - 400047"
Fun Republic Mall,"Avinashi Rd, Near PSG Krishnammal College, Masakalipalayam, Peelamedu, Coimbatore, Tamil Nadu 641004

",Coimbatore,126,126,false,0,False,NO,Only for Lunch Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,True,False,False,True,True,Fun Republic Mall
"Gaur Central Mall, Raj Nagar","5th Floor, Gaur Central Mall, RDC, Opposite HDFC Bank, Raj Nagar, Block 1, P & T Colony, Ghaziabad, Uttar Pradesh 201002",Ghaziabad,118,118,false,0,True,Mall Parking chargable,No,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False,Beside Dubai mall
"Gaur City Mall, Sector 4","5th floor,Gaur city mall,Greater noida w rd,sector 4 Greater Noida,Uttar pradesh 201301

",Noida,120,120,false,0,False,No,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,False,False,Near PVR cinema
GMS Road,"TRI JUNCTION, KALA PALACE, SOLUS TOWERS, GENERAL MAHADEV SINGH RD,DEHRADUN, UTTARAKHAND, 248146.

",Dehradun,102,102,false,0,True,NA,No,Lunch open by 12.00 pm and close by 05.00 pm and last entry 04.00 pm. Dinner open by 06.30 pm and close by 11.00 pm and last entry by 10.00 pm.,True,False,False,True,True,GENERAL MAHADEV SINGH RD
"Grand Highstreet Mall,Hinjewadi","Phase 1, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057",Pune,160,160,false,0,True,NA,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close by 04.30 pm and last entry is 03.30 pm.<br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry by 10.30 pm.,True,False,False,True,True,Global HighStreet Mall
"Grand Horizon Mall, Singhad Road","2nd Floor, Grand Horizon Mall, Sinhgad Rd, Manik Baug, Anand Nagar, Pune, Maharashtra 411041

",Pune,130,130,true,0,True,NA,Lunch / Monday to Friday / 1 Round / Soft drink or Mocktail.,"12:00 PM to 2:30 PM

2:30 PM TO 3:30PM

6:30 PM TO 9:15 PM

9:15 PM TO 11.00 PM",True,False,False,True,True,Grand Horizon Mall
"Grand Mall, Sector 28","3rd Floor, Shop No 3, DLF Grand Mall, Mehrauli Gurgaon Road, Near Sikanderpur Metro Station, DLF Phase 1, Sector 28, Gurugram, Haryana 122001, India",Gurugram,150,150,false,0,True,No valet parking ( Mall Parking chargable ),Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False,"DLF Grand Mall, Mehrauli Gurgaon Road, Near Sikanderpur Metro Station, DLF Phase 1"
Greater Noida Sec Beta 2,"3rd Floor Omaxe Connaught Place Mall, Near CNG Filling Station, Sector Beta 2, Greater Noida, Uttar Pradesh 201306",Noida,126,126,false,0,True,Mall Parking,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False,"Sec B-2,Near CNG filling station"
"Growels Mall, Kandivali","3rd Floor, Growels Mall, Akurli Road, Samata Nagar, Kandivali East, Mumbai - 400101

",Mumbai,160,160,false,0,True,NO,Only for Lunch from Wednesday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner by 06.30 pm and close by 11.45 pm and last entry 11.00 pm <br><br/>,False,False,False,True,False,GROWELS 101 MALL
GSM Mall Miyapur," fourth Floor, Gsm Mall, ICRISAT Colony, Miyapur, Hyderabad - 500049 ",Hyderabad,128,128,false,0,False,No,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,True,False,False,True,True,GSM Mall
"Hotel Savoy Suites, Sector 16",ground floor hotel savoy suite A79A SECTOR 16 NOIDA.UP-201301.INDIA,Noida,148,148,false,0,False,Only Parking Assistance,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False,NEAR MC D
Indiranagar,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bangalore- 560038",Bengaluru,160,160,false,0,True,YES,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,"Lido Mall, Swami Vivekananda Road, Halasuru, "
"ITPL,Whitefield","1st Floor, Ascendas Park Square Mall, ITPL, Whitefield Road, Bengaluru, Karnataka 560066",Bengaluru,188,188,false,0,True,No valet parking ( Mall Parking ),Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,"Ascendas Park Square Mall, ITPL"
"Jagat Mall, Gorakhpur Road","3rd Floor, Jagat Mall, Gorakhpur Rd, Jabalpur, Madhya Pradesh, 482001",Jabalpur,106,106,false,0,False,No,No,Monday to Friday Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Sat & Sun outlet is open by 12.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>Monday to Friday Dinner open by 06.00 pm and close 12.00 am and last entry for lunch 11.00 pm <br><br/>,False,False,False,True,False,Jagat mall
